Width, Gap
0.0, 0
0.01, 0
0.02, 0
0.03, 0
0.04, 0
0.05, 0
0.06, 0
0.07, 0
0.08, 0
0.09, 0
0.09999999999999999, 0
0.10999999999999999, 0
0.11999999999999998, 0
0.12999999999999998, 0
0.13999999999999999, 0
0.15, 0
0.16, 0
0.17, 0
0.180, 0
0.19000000000000003, 0
0.20000000000000004, 0
0.21000000000000005, 0
0.22000000000000006, 0
0.23000000000000007, 0
0.24000000000000007, 0
0.25000000000000006, 0
0.26000000000000006, 0
0.2700000000000001, 0
0.2800000000000001, 0
0.2900000000000001, 0
0.3000000000000001, 0
0.3100000000000001, 0
0.3200000000000001, 0
0.3300000000000001, 3.97100895722331
0.34000000000000014, 6.681155260522877
0.35000000000000014, 8.402542546035468
0.36000000000000015, 6.5464546154954615
0.37000000000000016, 0.9374695470555405
0.38000000000000017, 0
0.39, 0
0.40, 0
0.41, 0
0.42, 0
0.43, 0
0.44, 0
0.453, 0
0.464, 0
0.475, 0
0.480000000, 0
0.49, 0
0.5, 0
0.51, 0
0.52, 0
0.53, 0
0.54, 0
0.55, 0
0.56, 0
0.57, 0
0.58, 0
0.59, 0
0.60, 0
0.61, 0
0.62, 0
0.63, 0
0.64, 0
0.65, 0
0.66, 0
0.67, 0
0.68, 0
0.69, 0